x-axis,F1
Hertz,dBV
+0.0E+00,-58.14478E+00
+400.0E-03,-58.16218E+00
+800.0E-03,-58.17959E+00
+1.2000E+00,-58.19700E+00
+1.6000E+00,-58.21441E+00
+2.0000E+00,-58.23182E+00
+2.4000E+00,-58.24922E+00
+2.8000E+00,-58.26663E+00
+3.2000E+00,-58.28404E+00
+3.6000E+00,-58.30145E+00
+4.0000E+00,-58.25600E+00
+4.4000E+00,-58.13773E+00
+4.8000E+00,-58.01946E+00
+5.2000E+00,-57.90118E+00
+5.6000E+00,-57.78291E+00
+6.0000E+00,-57.66464E+00
+6.4000E+00,-57.54637E+00
+6.8000E+00,-57.42810E+00
+7.2000E+00,-57.30982E+00
+7.6000E+00,-57.19155E+00
+8.0000E+00,-57.19543E+00
+8.4000E+00,-57.20900E+00
+8.8000E+00,-57.22257E+00
+9.2000E+00,-57.23614E+00
+9.6000E+00,-57.24970E+00
+10.0000E+00,-57.26327E+00
+10.4000E+00,-57.27684E+00
+10.8000E+00,-57.29041E+00
+11.2000E+00,-57.30398E+00
+11.6000E+00,-57.52798E+00
+12.0000E+00,-58.08145E+00
+12.4000E+00,-58.63493E+00
+12.8000E+00,-59.18840E+00
+13.2000E+00,-59.74187E+00
+13.6000E+00,-60.29534E+00
+14.0000E+00,-60.84881E+00
+14.4000E+00,-61.40229E+00
+14.8000E+00,-61.95576E+00
+15.2000E+00,-62.50923E+00
+15.6000E+00,-62.71898E+00
+16.0000E+00,-62.86951E+00
+16.4000E+00,-63.02004E+00
+16.8000E+00,-63.17056E+00
+17.2000E+00,-63.32109E+00
+17.6000E+00,-63.47162E+00
+18.0000E+00,-63.62215E+00
+18.4000E+00,-63.77268E+00
+18.8000E+00,-63.92320E+00
+19.2000E+00,-64.21527E+00
+19.6000E+00,-64.81328E+00
+20.0000E+00,-65.41130E+00
+20.4000E+00,-66.00931E+00
+20.8000E+00,-66.60733E+00
+21.2000E+00,-67.20535E+00
+21.6000E+00,-67.80336E+00
+22.0000E+00,-68.40138E+00
+22.4000E+00,-68.99939E+00
+22.8000E+00,-69.59741E+00
