X--Trace 1::[V(vc2)],Y--Trace 1::[V(vc2)],,X--Trace 2::[V(vb2)],Y--Trace 2::[V(vb2)],,X--Trace 3::[V(ve)],Y--Trace 3::[V(ve)]
0,5.00011,,0,0.620702,,0,0
4e-007,4.99942,,4e-007,0.62071,,4e-007,1.6e-005
8e-007,4.99835,,8e-007,0.620721,,8e-007,3.2e-005
1.6e-006,4.9958,,1.6e-006,0.620747,,1.6e-006,6.4e-005
3.2e-006,4.98973,,3.2e-006,0.620807,,3.2e-006,0.000128
6.4e-006,4.97744,,6.4e-006,0.62093,,6.4e-006,0.000256
1.28e-005,4.95286,,1.28e-005,0.621174,,1.28e-005,0.000512
2.56e-005,4.90349,,2.56e-005,0.621664,,2.56e-005,0.001024
5.12e-005,4.80407,,5.12e-005,0.622643,,5.12e-005,0.002048
9.12e-005,4.64684,,9.12e-005,0.624172,,9.12e-005,0.003648
0.0001312,4.4874,,0.0001312,0.625699,,0.0001312,0.005248
0.0001712,4.32575,,0.0001712,0.627226,,0.0001712,0.006848
0.0002112,4.16196,,0.0002112,0.628752,,0.0002112,0.008448
0.0002512,3.99605,,0.0002512,0.630277,,0.0002512,0.010048
0.0002912,3.82808,,0.0002912,0.631801,,0.0002912,0.011648
0.0003312,3.65806,,0.0003312,0.633324,,0.0003312,0.013248
0.0003712,3.48607,,0.0003712,0.634847,,0.0003712,0.014848
0.0004112,3.31212,,0.0004112,0.636368,,0.0004112,0.016448
0.0004512,3.13627,,0.0004512,0.637888,,0.0004512,0.018048
0.0004912,2.95854,,0.0004912,0.639408,,0.0004912,0.019648
0.0005,2.9192,,0.0005,0.639742,,0.0005,0.02
0.000504,2.93204,,0.000504,0.63963,,0.000504,0.01984
0.000512,2.96638,,0.000512,0.639337,,0.000512,0.01952
0.000528,3.03882,,0.000528,0.63872,,0.000528,0.01888
0.00056,3.17964,,0.00056,0.637511,,0.00056,0.0176
0.0006,3.35606,,0.0006,0.635982,,0.0006,0.016
0.000638,3.52062,,0.000638,0.634539,,0.000638,0.01448
0.000678,3.69232,,0.000678,0.633015,,0.000678,0.01288
0.000718,3.86205,,0.000718,0.631491,,0.000718,0.01128
0.000758,4.02972,,0.000758,0.629966,,0.000758,0.00968
0.000798,4.19532,,0.000798,0.628439,,0.000798,0.00808
0.000838,4.35877,,0.000838,0.626912,,0.000838,0.00648
0.000878,4.52007,,0.000878,0.625385,,0.000878,0.00488
0.000918,4.67916,,0.000918,0.623856,,0.000918,0.00328
0.000958,4.836,,0.000958,0.622326,,0.000958,0.00168
0.000978,4.91357,,0.000978,0.621561,,0.000978,0.00088
0.001,4.99823,,0.001,0.620719,,0.001,0
0.001004,4.98628,,0.001004,0.620842,,0.001004,0.00016
0.001012,4.95626,,0.001012,0.621141,,0.001012,0.00048
0.001028,4.89392,,0.001028,0.621758,,0.001028,0.00112
0.00106,4.76994,,0.00106,0.622977,,0.00106,0.0024
0.0011,4.61169,,0.0011,0.62451,,0.0011,0.004
0.001138,4.46006,,0.001138,0.625959,,0.001138,0.00552
0.001178,4.29806,,0.001178,0.627486,,0.001178,0.00712
0.001218,4.1339,,0.001218,0.629011,,0.001218,0.00872
0.001258,3.96764,,0.001258,0.630536,,0.001258,0.01032
0.001298,3.79931,,0.001298,0.63206,,0.001298,0.01192
0.001338,3.62897,,0.001338,0.633583,,0.001338,0.01352
0.001378,3.45663,,0.001378,0.635105,,0.001378,0.01512
0.001418,3.28236,,0.001418,0.636626,,0.001418,0.01672
0.001458,3.10618,,0.001458,0.638147,,0.001458,0.01832
0.001478,3.0174,,0.001478,0.638907,,0.001478,0.01912
0.0015,2.91919,,0.0015,0.639742,,0.0015,0.02
0.001504,2.93204,,0.001504,0.63963,,0.001504,0.01984
0.001512,2.96638,,0.001512,0.639337,,0.001512,0.01952
0.001528,3.03882,,0.001528,0.63872,,0.001528,0.01888
0.00156,3.17964,,0.00156,0.637511,,0.00156,0.0176
0.0016,3.35606,,0.0016,0.635982,,0.0016,0.016
0.001638,3.52062,,0.001638,0.634539,,0.001638,0.01448
0.001678,3.69232,,0.001678,0.633015,,0.001678,0.01288
0.001718,3.86206,,0.001718,0.631491,,0.001718,0.01128
0.001758,4.02972,,0.001758,0.629966,,0.001758,0.00968
0.001798,4.19532,,0.001798,0.628439,,0.001798,0.00808
0.001838,4.35877,,0.001838,0.626912,,0.001838,0.00648
0.001878,4.52007,,0.001878,0.625384,,0.001878,0.00488
0.001918,4.67915,,0.001918,0.623856,,0.001918,0.00328
0.001958,4.83601,,0.001958,0.622326,,0.001958,0.00168
0.001978,4.91357,,0.001978,0.621561,,0.001978,0.00088
0.002,4.99823,,0.002,0.620719,,0.002,0
