X--Trace 1::[I(Q2[IC])],Y--Trace 1::[I(Q2[IC])]
0,0.000222673
0.001,0.000226978
0.002,0.000231283
0.003,0.000235647
0.004,0.000240051
0.005,0.000244493
0.006,0.000248974
0.007,0.000253492
0.008,0.000258048
0.009,0.000262641
0.01,0.00026727
0.011,0.000271936
0.012,0.000276637
0.013,0.000281374
0.014,0.000286145
0.015,0.000290951
0.016,0.00029579
0.017,0.000300663
0.018,0.000305569
0.019,0.000310508
0.02,0.000315479
0.021,0.000320482
0.022,0.000325516
0.023,0.000330581
0.024,0.000335676
0.025,0.000340802
0.026,0.000345957
0.027,0.000351142
0.028,0.000356355
0.029,0.000361597
0.03,0.000366867
0.031,0.000372165
0.032,0.00037749
0.033,0.000382842
0.034,0.00038822
0.035,0.000393625
0.036,0.000399055
0.037,0.000404511
0.038,0.000409991
0.039,0.000415496
0.04,0.000421026
0.041,0.000426576
0.042,0.000432007
0.043,0.00043569
0.044,0.000437197
0.045,0.000437983
0.046,0.000438495
0.047,0.000438871
0.048,0.000439141
0.049,0.00043939
0.05,0.0004396
0.051,0.000439778
0.052,0.000439932
0.053,0.000440069
0.054,0.000440192
0.055,0.000440303
0.056,0.000440404
0.057,0.000440497
0.058,0.000440583
0.059,0.000440663
0.06,0.000440737
0.061,0.000440806
0.062,0.000440871
0.063,0.000440932
0.064,0.000440989
0.065,0.000441044
0.066,0.000441096
0.067,0.000441145
0.068,0.000441191
0.069,0.000441236
0.07,0.000441278
0.071,0.000441318
0.072,0.000441357
0.073,0.000441394
0.074,0.00044143
0.075,0.000441464
0.076,0.000441497
0.077,0.000441529
0.078,0.000441559
0.079,0.000441588
0.08,0.000441617
