X--Trace 1::[I(Q2[IC])],Y--Trace 1::[I(Q2[IC])]
0,0.000222673
0.0001,0.0002231
0.0002,0.000223527
0.0003,0.000223954
0.0004,0.000224382
0.0005,0.00022481
0.0006,0.000225239
0.0007,0.000225668
0.0008,0.000226097
0.0009,0.000226527
0.001,0.000226958
0.0011,0.000227388
0.0012,0.000227819
0.0013,0.000228251
0.0014,0.000228683
0.0015,0.000229115
0.0016,0.000229548
0.0017,0.000229981
0.0018,0.000230414
0.0019,0.000230848
0.002,0.000231283
0.0021,0.000231717
0.0022,0.000232152
0.0023,0.000232588
0.0024,0.000233024
0.0025,0.00023346
0.0026,0.000233897
0.0027,0.000234334
0.0028,0.000234771
0.0029,0.000235209
0.003,0.000235647
0.0031,0.000236086
0.0032,0.000236525
0.0033,0.000236964
0.0034,0.000237404
0.0035,0.000237844
0.0036,0.000238285
0.0037,0.000238726
0.0038,0.000239167
0.0039,0.000239609
0.004,0.000240051
0.0041,0.000240493
0.0042,0.000240936
0.0043,0.000241379
0.0044,0.000241823
0.0045,0.000242267
0.0046,0.000242712
0.0047,0.000243156
0.0048,0.000243602
0.0049,0.000244047
0.005,0.000244493
0.0051,0.000244939
0.0052,0.000245386
0.0053,0.000245833
0.0054,0.000246281
0.0055,0.000246729
0.0056,0.000247177
0.0057,0.000247626
0.0058,0.000248075
0.0059,0.000248524
0.006,0.000248974
0.0061,0.000249424
0.0062,0.000249874
0.0063,0.000250325
0.0064,0.000250777
0.0065,0.000251228
0.0066,0.00025168
0.0067,0.000252133
0.0068,0.000252585
0.0069,0.000253039
0.007,0.000253492
0.0071,0.000253946
0.0072,0.0002544
0.0073,0.000254855
0.0074,0.00025531
0.0075,0.000255765
0.0076,0.000256221
0.0077,0.000256677
0.0078,0.000257134
0.0079,0.000257591
0.008,0.000258048
0.0081,0.000258506
0.0082,0.000258964
0.0083,0.000259422
0.0084,0.000259881
0.0085,0.00026034
0.0086,0.000260799
0.0087,0.000261259
0.0088,0.000261719
0.0089,0.00026218
0.009,0.000262641
0.0091,0.000263102
0.0092,0.000263564
0.0093,0.000264026
0.0094,0.000264488
0.0095,0.000264951
0.0096,0.000265414
0.0097,0.000265878
0.0098,0.000266342
0.0099,0.000266806
0.01,0.00026727
0.0101,0.000267735
0.0102,0.000268201
0.0103,0.000268666
0.0104,0.000269132
0.0105,0.000269599
0.0106,0.000270065
0.0107,0.000270533
0.0108,0.000271
0.0109,0.000271468
0.011,0.000271936
0.0111,0.000272404
0.0112,0.000272873
0.0113,0.000273343
0.0114,0.000273812
0.0115,0.000274282
0.0116,0.000274752
0.0117,0.000275223
0.0118,0.000275694
0.0119,0.000276165
0.012,0.000276637
0.0121,0.000277109
0.0122,0.000277582
0.0123,0.000278054
0.0124,0.000278528
0.0125,0.000279001
0.0126,0.000279475
0.0127,0.000279949
0.0128,0.000280424
0.0129,0.000280898
0.013,0.000281374
0.0131,0.000281849
0.0132,0.000282325
0.0133,0.000282801
0.0134,0.000283278
0.0135,0.000283755
0.0136,0.000284232
0.0137,0.00028471
0.0138,0.000285188
0.0139,0.000285666
0.014,0.000286145
0.0141,0.000286624
0.0142,0.000287103
0.0143,0.000287583
0.0144,0.000288063
0.0145,0.000288543
0.0146,0.000289024
0.0147,0.000289505
0.0148,0.000289987
0.0149,0.000290468
0.015,0.000290951
0.0151,0.000291433
0.0152,0.000291916
0.0153,0.000292399
0.0154,0.000292882
0.0155,0.000293366
0.0156,0.00029385
0.0157,0.000294335
0.0158,0.000294819
0.0159,0.000295305
0.016,0.00029579
0.0161,0.000296276
0.0162,0.000296762
0.0163,0.000297249
0.0164,0.000297735
0.0165,0.000298222
0.0166,0.00029871
0.0167,0.000299198
0.0168,0.000299686
0.0169,0.000300174
0.017,0.000300663
0.0171,0.000301152
0.0172,0.000301642
0.0173,0.000302132
0.0174,0.000302622
0.0175,0.000303112
0.0176,0.000303603
0.0177,0.000304094
0.0178,0.000304585
0.0179,0.000305077
0.018,0.000305569
0.0181,0.000306062
0.0182,0.000306554
0.0183,0.000307047
0.0184,0.000307541
0.0185,0.000308035
0.0186,0.000308529
0.0187,0.000309023
0.0188,0.000309518
0.0189,0.000310013
0.019,0.000310508
0.0191,0.000311004
0.0192,0.0003115
0.0193,0.000311996
0.0194,0.000312493
0.0195,0.000312989
0.0196,0.000313487
0.0197,0.000313984
0.0198,0.000314482
0.0199,0.00031498
0.02,0.000315479
0.0201,0.000315978
0.0202,0.000316477
0.0203,0.000316976
0.0204,0.000317476
0.0205,0.000317976
0.0206,0.000318477
0.0207,0.000318978
0.0208,0.000319479
0.0209,0.00031998
0.021,0.000320482
0.0211,0.000320984
0.0212,0.000321486
0.0213,0.000321989
0.0214,0.000322492
0.0215,0.000322995
0.0216,0.000323498
0.0217,0.000324002
0.0218,0.000324507
0.0219,0.000325011
0.022,0.000325516
0.0221,0.000326021
0.0222,0.000326526
0.0223,0.000327032
0.0224,0.000327538
0.0225,0.000328044
0.0226,0.000328551
0.0227,0.000329058
0.0228,0.000329565
0.0229,0.000330073
0.023,0.000330581
