X--Trace 1::[I(Q3[IC])],Y--Trace 1::[I(Q3[IC])]
3,0.000199527
3.01,0.000199527
3.02,0.000199527
3.03,0.000199527
3.04,0.000199528
3.05,0.000199528
3.06,0.000199528
3.07,0.000199528
3.08,0.000199528
3.09,0.000199528
3.1,0.000199528
3.11,0.000199528
3.12,0.000199528
3.13,0.000199529
3.14,0.000199529
3.15,0.000199529
3.16,0.000199529
3.17,0.000199529
3.18,0.000199529
3.19,0.000199529
3.2,0.000199529
3.21,0.000199529
3.22,0.00019953
3.23,0.00019953
3.24,0.00019953
3.25,0.00019953
3.26,0.00019953
3.27,0.00019953
3.28,0.00019953
3.29,0.00019953
3.3,0.00019953
3.31,0.000199531
3.32,0.000199531
3.33,0.000199531
3.34,0.000199531
3.35,0.000199531
3.36,0.000199531
3.37,0.000199531
3.38,0.000199531
3.39,0.000199531
3.4,0.000199532
3.41,0.000199532
3.42,0.000199532
3.43,0.000199532
3.44,0.000199532
3.45,0.000199532
3.46,0.000199532
3.47,0.000199532
3.48,0.000199532
3.49,0.000199533
3.5,0.000199533
3.51,0.000199533
3.52,0.000199533
3.53,0.000199533
3.54,0.000199533
3.55,0.000199533
3.56,0.000199533
3.57,0.000199533
3.58,0.000199534
3.59,0.000199534
3.6,0.000199534
3.61,0.000199534
3.62,0.000199534
3.63,0.000199534
3.64,0.000199534
3.65,0.000199534
3.66,0.000199534
3.67,0.000199535
3.68,0.000199535
3.69,0.000199535
3.7,0.000199535
3.71,0.000199535
3.72,0.000199535
3.73,0.000199535
3.74,0.000199535
3.75,0.000199535
3.76,0.000199536
3.77,0.000199536
3.78,0.000199536
3.79,0.000199536
3.8,0.000199536
3.81,0.000199536
3.82,0.000199536
3.83,0.000199536
3.84,0.000199536
3.85,0.000199537
3.86,0.000199537
3.87,0.000199537
3.88,0.000199537
3.89,0.000199537
3.9,0.000199537
3.91,0.000199537
3.92,0.000199537
3.93,0.000199537
3.94,0.000199538
3.95,0.000199538
3.96,0.000199538
3.97,0.000199538
3.98,0.000199538
3.99,0.000199538
4,0.000199538
4.01,0.000199538
4.02,0.000199538
4.03,0.000199538
4.04,0.000199539
4.05,0.000199539
4.06,0.000199539
4.07,0.000199539
4.08,0.000199539
4.09,0.000199539
4.1,0.000199539
4.11,0.000199539
4.12,0.000199539
4.13,0.00019954
4.14,0.00019954
4.15,0.00019954
4.16,0.00019954
4.17,0.00019954
4.18,0.00019954
4.19,0.00019954
4.2,0.00019954
4.21,0.00019954
4.22,0.000199541
4.23,0.000199541
4.24,0.000199541
4.25,0.000199541
4.26,0.000199541
4.27,0.000199541
4.28,0.000199541
4.29,0.000199541
4.3,0.000199541
4.31,0.000199542
4.32,0.000199542
4.33,0.000199542
4.34,0.000199542
4.35,0.000199542
4.36,0.000199542
4.37,0.000199542
4.38,0.000199542
4.39,0.000199542
4.4,0.000199542
4.41,0.000199543
4.42,0.000199543
4.43,0.000199543
4.44,0.000199543
4.45,0.000199543
4.46,0.000199543
4.47,0.000199543
4.48,0.000199543
4.49,0.000199543
4.5,0.000199544
4.51,0.000199544
4.52,0.000199544
4.53,0.000199544
4.54,0.000199544
4.55,0.000199544
4.56,0.000199544
4.57,0.000199544
4.58,0.000199544
4.59,0.000199545
4.6,0.000199545
4.61,0.000199545
4.62,0.000199545
4.63,0.000199545
4.64,0.000199545
4.65,0.000199545
4.66,0.000199545
4.67,0.000199545
4.68,0.000199545
4.69,0.000199546
4.7,0.000199546
4.71,0.000199546
4.72,0.000199546
4.73,0.000199546
4.74,0.000199546
4.75,0.000199546
4.76,0.000199546
4.77,0.000199546
4.78,0.000199547
4.79,0.000199547
4.8,0.000199547
4.81,0.000199547
4.82,0.000199547
4.83,0.000199547
4.84,0.000199547
4.85,0.000199547
4.86,0.000199547
4.87,0.000199548
4.88,0.000199548
4.89,0.000199548
4.9,0.000199548
4.91,0.000199548
4.92,0.000199548
4.93,0.000199548
4.94,0.000199548
4.95,0.000199548
4.96,0.000199548
4.97,0.000199549
4.98,0.000199549
4.99,0.000199549
5,0.000199549
5.01,0.000199549
5.02,0.000199549
5.03,0.000199549
5.04,0.000199549
5.05,0.000199549
5.06,0.00019955
5.07,0.00019955
5.08,0.00019955
5.09,0.00019955
5.1,0.00019955
5.11,0.00019955
5.12,0.00019955
5.13,0.00019955
5.14,0.00019955
5.15,0.00019955
5.16,0.000199551
5.17,0.000199551
5.18,0.000199551
5.19,0.000199551
5.2,0.000199551
5.21,0.000199551
