X--Trace 1::[I(Q6[IC])],Y--Trace 1::[I(Q6[IC])]
4.5,0.000149292
4.51,0.000149292
4.52,0.000149293
4.53,0.000149293
4.54,0.000149294
4.55,0.000149295
4.56,0.000149295
4.57,0.000149296
4.58,0.000149296
4.59,0.000149297
4.6,0.000149298
4.61,0.000149298
4.62,0.000149299
4.63,0.000149299
4.64,0.0001493
4.65,0.0001493
4.66,0.000149301
4.67,0.000149302
4.68,0.000149302
4.69,0.000149303
4.7,0.000149303
4.71,0.000149304
4.72,0.000149305
4.73,0.000149305
4.74,0.000149306
4.75,0.000149306
4.76,0.000149307
4.77,0.000149307
4.78,0.000149308
4.79,0.000149309
4.8,0.000149309
4.81,0.00014931
4.82,0.00014931
4.83,0.000149311
4.84,0.000149312
4.85,0.000149312
4.86,0.000149313
4.87,0.000149313
4.88,0.000149314
4.89,0.000149314
4.9,0.000149315
4.91,0.000149316
4.92,0.000149316
4.93,0.000149317
4.94,0.000149317
4.95,0.000149318
4.96,0.000149318
4.97,0.000149319
4.98,0.00014932
4.99,0.00014932
5,0.000149321
5.01,0.000149321
5.02,0.000149322
5.03,0.000149323
5.04,0.000149323
5.05,0.000149324
5.06,0.000149324
5.07,0.000149325
5.08,0.000149325
5.09,0.000149326
5.1,0.000149327
5.11,0.000149327
5.12,0.000149328
5.13,0.000149328
5.14,0.000149329
5.15,0.000149329
5.16,0.00014933
5.17,0.000149331
5.18,0.000149331
5.19,0.000149332
5.2,0.000149332
5.21,0.000149333
5.22,0.000149333
5.23,0.000149334
5.24,0.000149335
5.25,0.000149335
5.26,0.000149336
5.27,0.000149336
5.28,0.000149337
5.29,0.000149338
5.3,0.000149338
5.31,0.000149339
5.32,0.000149339
5.33,0.00014934
5.34,0.00014934
5.35,0.000149341
5.36,0.000149342
5.37,0.000149342
5.38,0.000149343
5.39,0.000149343
5.4,0.000149344
5.41,0.000149344
5.42,0.000149345
5.43,0.000149346
5.44,0.000149346
5.45,0.000149347
5.46,0.000149347
5.47,0.000149348
5.48,0.000149348
5.49,0.000149349
5.5,0.00014935
5.51,0.00014935
5.52,0.000149351
5.53,0.000149351
5.54,0.000149352
5.55,0.000149352
5.56,0.000149353
5.57,0.000149354
5.58,0.000149354
5.59,0.000149355
5.6,0.000149355
5.61,0.000149356
5.62,0.000149356
5.63,0.000149357
5.64,0.000149358
5.65,0.000149358
5.66,0.000149359
5.67,0.000149359
5.68,0.00014936
5.69,0.00014936
5.7,0.000149361
5.71,0.000149362
5.72,0.000149362
5.73,0.000149363
5.74,0.000149363
5.75,0.000149364
5.76,0.000149364
5.77,0.000149365
5.78,0.000149366
5.79,0.000149366
5.8,0.000149367
5.81,0.000149367
5.82,0.000149368
