X--Trace 1::[I(Q6[IC])],Y--Trace 1::[I(Q6[IC])]
4.5,0.000199915
4.51,0.000199915
4.52,0.000199915
4.53,0.000199915
4.54,0.000199916
4.55,0.000199916
4.56,0.000199916
4.57,0.000199916
4.58,0.000199916
4.59,0.000199916
4.6,0.000199917
4.61,0.000199917
4.62,0.000199917
4.63,0.000199917
4.64,0.000199917
4.65,0.000199918
4.66,0.000199918
4.67,0.000199918
4.68,0.000199918
4.69,0.000199918
4.7,0.000199918
4.71,0.000199919
4.72,0.000199919
4.73,0.000199919
4.74,0.000199919
4.75,0.000199919
4.76,0.000199919
4.77,0.00019992
4.78,0.00019992
4.79,0.00019992
4.8,0.00019992
4.81,0.00019992
4.82,0.00019992
4.83,0.000199921
4.84,0.000199921
4.85,0.000199921
4.86,0.000199921
4.87,0.000199921
4.88,0.000199921
4.89,0.000199922
4.9,0.000199922
4.91,0.000199922
4.92,0.000199922
4.93,0.000199922
4.94,0.000199922
4.95,0.000199923
4.96,0.000199923
4.97,0.000199923
4.98,0.000199923
4.99,0.000199923
5,0.000199923
5.01,0.000199924
5.02,0.000199924
5.03,0.000199924
5.04,0.000199924
5.05,0.000199924
5.06,0.000199924
5.07,0.000199925
5.08,0.000199925
5.09,0.000199925
5.1,0.000199925
5.11,0.000199925
5.12,0.000199925
5.13,0.000199926
5.14,0.000199926
5.15,0.000199926
5.16,0.000199926
5.17,0.000199926
5.18,0.000199926
5.19,0.000199927
5.2,0.000199927
5.21,0.000199927
5.22,0.000199927
5.23,0.000199927
5.24,0.000199927
5.25,0.000199928
5.26,0.000199928
5.27,0.000199928
5.28,0.000199928
5.29,0.000199928
5.3,0.000199928
5.31,0.000199929
5.32,0.000199929
5.33,0.000199929
5.34,0.000199929
5.35,0.000199929
5.36,0.000199929
5.37,0.00019993
5.38,0.00019993
5.39,0.00019993
5.4,0.00019993
5.41,0.00019993
5.42,0.00019993
5.43,0.000199931
5.44,0.000199931
5.45,0.000199931
5.46,0.000199931
5.47,0.000199931
5.48,0.000199931
5.49,0.000199932
5.5,0.000199932
5.51,0.000199932
5.52,0.000199932
5.53,0.000199932
5.54,0.000199932
5.55,0.000199933
5.56,0.000199933
5.57,0.000199933
5.58,0.000199933
5.59,0.000199933
5.6,0.000199933
5.61,0.000199934
5.62,0.000199934
5.63,0.000199934
5.64,0.000199934
5.65,0.000199934
5.66,0.000199934
5.67,0.000199935
5.68,0.000199935
5.69,0.000199935
5.7,0.000199935
5.71,0.000199935
5.72,0.000199935
5.73,0.000199936
5.74,0.000199936
5.75,0.000199936
5.76,0.000199936
5.77,0.000199936
5.78,0.000199936
5.79,0.000199936
5.8,0.000199937
5.81,0.000199937
5.82,0.000199937
5.83,0.000199937
5.84,0.000199937
5.85,0.000199937
5.86,0.000199938
5.87,0.000199938
5.88,0.000199938
5.89,0.000199938
5.9,0.000199938
5.91,0.000199938
5.92,0.000199939
5.93,0.000199939
5.94,0.000199939
5.95,0.000199939
5.96,0.000199939
5.97,0.000199939
5.98,0.00019994
5.99,0.00019994
6,0.00019994
6.01,0.00019994
6.02,0.00019994
6.03,0.00019994
6.04,0.000199941
6.05,0.000199941
6.06,0.000199941
6.07,0.000199941
6.08,0.000199941
6.09,0.000199941
6.1,0.000199942
6.11,0.000199942
6.12,0.000199942
6.13,0.000199942
6.14,0.000199942
6.15,0.000199942
6.16,0.000199943
6.17,0.000199943
6.18,0.000199943
6.19,0.000199943
6.2,0.000199943
6.21,0.000199943
6.22,0.000199944
6.23,0.000199944
6.24,0.000199944
6.25,0.000199944
6.26,0.000199944
6.27,0.000199944
6.28,0.000199945
6.29,0.000199945
6.3,0.000199945
6.31,0.000199945
6.32,0.000199945
6.33,0.000199945
6.34,0.000199945
6.35,0.000199946
6.36,0.000199946
6.37,0.000199946
6.38,0.000199946
6.39,0.000199946
6.4,0.000199946
6.41,0.000199947
6.42,0.000199947
6.43,0.000199947
