X--Trace 1::[I(Q4_A[IC])],Y--Trace 1::[I(Q4_A[IC])],X--Trace 2::[I(Q4_A[IB])],Y--Trace 2::[I(Q4_A[IB])]
2e-005,8.25449e-006,2e-005,1.03279e-007
2.1e-005,9.11757e-006,2.1e-005,1.10558e-007
2.2e-005,1.00235e-005,2.2e-005,1.17973e-007
2.3e-005,1.09722e-005,2.3e-005,1.25521e-007
2.4e-005,1.19637e-005,2.4e-005,1.332e-007
2.5e-005,1.29979e-005,2.5e-005,1.41006e-007
2.6e-005,1.40749e-005,2.6e-005,1.48937e-007
2.7e-005,1.51945e-005,2.7e-005,1.56989e-007
2.8e-005,1.63569e-005,2.8e-005,1.65161e-007
2.9e-005,1.7562e-005,2.9e-005,1.7345e-007
3e-005,1.88096e-005,3e-005,1.81853e-007
3.1e-005,2.00999e-005,3.1e-005,1.9037e-007
3.2e-005,2.14328e-005,3.2e-005,1.98997e-007
3.3e-005,2.28082e-005,3.3e-005,2.07733e-007
3.4e-005,2.42261e-005,3.4e-005,2.16576e-007
3.5e-005,2.56866e-005,3.5e-005,2.25524e-007
3.6e-005,2.71894e-005,3.6e-005,2.34577e-007
3.7e-005,2.87348e-005,3.7e-005,2.43732e-007
3.8e-005,3.03225e-005,3.8e-005,2.52988e-007
3.9e-005,3.19525e-005,3.9e-005,2.62343e-007
4e-005,3.36249e-005,4e-005,2.71796e-007
4.1e-005,3.53396e-005,4.1e-005,2.81346e-007
4.2e-005,3.70966e-005,4.2e-005,2.90992e-007
4.3e-005,3.88958e-005,4.3e-005,3.00732e-007
4.4e-005,4.07371e-005,4.4e-005,3.10565e-007
4.5e-005,4.26206e-005,4.5e-005,3.20491e-007
4.6e-005,4.45462e-005,4.6e-005,3.30507e-007
4.7e-005,4.65139e-005,4.7e-005,3.40614e-007
4.8e-005,4.85237e-005,4.8e-005,3.5081e-007
4.9e-005,5.05754e-005,4.9e-005,3.61093e-007
5e-005,5.2669e-005,5e-005,3.71464e-007
5.1e-005,5.48046e-005,5.1e-005,3.81921e-007
5.2e-005,5.69821e-005,5.2e-005,3.92464e-007
5.3e-005,5.92014e-005,5.3e-005,4.03091e-007
5.4e-005,6.14625e-005,5.4e-005,4.13801e-007
5.5e-005,6.37653e-005,5.5e-005,4.24595e-007
5.6e-005,6.61098e-005,5.6e-005,4.35471e-007
5.7e-005,6.8496e-005,5.7e-005,4.46428e-007
5.8e-005,7.09238e-005,5.8e-005,4.57465e-007
5.9e-005,7.33932e-005,5.9e-005,4.68583e-007
6e-005,7.59041e-005,6e-005,4.7978e-007
6.1e-005,7.84565e-005,6.1e-005,4.91055e-007
6.2e-005,8.10503e-005,6.2e-005,5.02408e-007
6.3e-005,8.36855e-005,6.3e-005,5.13839e-007
6.4e-005,8.6362e-005,6.4e-005,5.25346e-007
6.5e-005,8.90799e-005,6.5e-005,5.36929e-007
6.6e-005,9.18389e-005,6.6e-005,5.48587e-007
6.7e-005,9.46392e-005,6.7e-005,5.6032e-007
6.8e-005,9.74806e-005,6.8e-005,5.72128e-007
6.9e-005,0.000100363,6.9e-005,5.84009e-007
7e-005,0.000103287,7e-005,5.95963e-007
7.1e-005,0.000106251,7.1e-005,6.07989e-007
7.2e-005,0.000109257,7.2e-005,6.20088e-007
7.3e-005,0.000112303,7.3e-005,6.32258e-007
7.4e-005,0.00011539,7.4e-005,6.44499e-007
7.5e-005,0.000118518,7.5e-005,6.56811e-007
7.6e-005,0.000121687,7.6e-005,6.69193e-007
7.7e-005,0.000124897,7.7e-005,6.81644e-007
7.8e-005,0.000128147,7.8e-005,6.94165e-007
7.9e-005,0.000131437,7.9e-005,7.06754e-007
8e-005,0.000134769,8e-005,7.19411e-007
8.1e-005,0.00013814,8.1e-005,7.32136e-007
8.2e-005,0.000141552,8.2e-005,7.44928e-007
8.3e-005,0.000145005,8.3e-005,7.57787e-007
8.4e-005,0.000148497,8.4e-005,7.70713e-007
8.5e-005,0.00015203,8.5e-005,7.83705e-007
8.6e-005,0.000155604,8.6e-005,7.96762e-007
8.7e-005,0.000159217,8.7e-005,8.09885e-007
8.8e-005,0.00016287,8.8e-005,8.23072e-007
8.9e-005,0.000166564,8.9e-005,8.36324e-007
9e-005,0.000170297,9e-005,8.4964e-007
9.1e-005,0.00017407,9.1e-005,8.6302e-007
9.2e-005,0.000177883,9.2e-005,8.76463e-007
9.3e-005,0.000181736,9.3e-005,8.89969e-007
9.4e-005,0.000185629,9.4e-005,9.03537e-007
9.5e-005,0.000189561,9.5e-005,9.17168e-007
9.6e-005,0.000193533,9.6e-005,9.30861e-007
9.7e-005,0.000197544,9.7e-005,9.44615e-007
9.8e-005,0.000201595,9.8e-005,9.58431e-007
9.9e-005,0.000205686,9.9e-005,9.72308e-007
0.0001,0.000209815,0.0001,9.86245e-007
