X--Trace 1::[I(Q4_A[IC])],Y--Trace 1::[I(Q4_A[IC])],X--Trace 2::[I(Q4_A[IB])],Y--Trace 2::[I(Q4_A[IB])]
2e-005,7.38169e-006,2e-005,1.42319e-007
2.1e-005,8.16549e-006,2.1e-005,1.54023e-007
2.2e-005,8.98869e-006,2.2e-005,1.66096e-007
2.3e-005,9.85118e-006,2.3e-005,1.78532e-007
2.4e-005,1.0753e-005,2.4e-005,1.91329e-007
2.5e-005,1.1694e-005,2.5e-005,2.04484e-007
2.6e-005,1.26742e-005,2.6e-005,2.17992e-007
2.7e-005,1.36936e-005,2.7e-005,2.31853e-007
2.8e-005,1.4752e-005,2.8e-005,2.46061e-007
2.9e-005,1.58496e-005,2.9e-005,2.60616e-007
3e-005,1.69861e-005,3e-005,2.75514e-007
3.1e-005,1.81616e-005,3.1e-005,2.90753e-007
3.2e-005,1.93759e-005,3.2e-005,3.0633e-007
3.3e-005,2.06291e-005,3.3e-005,3.22244e-007
3.4e-005,2.19211e-005,3.4e-005,3.38492e-007
3.5e-005,2.32517e-005,3.5e-005,3.55071e-007
3.6e-005,2.46211e-005,3.6e-005,3.71981e-007
3.7e-005,2.6029e-005,3.7e-005,3.89219e-007
3.8e-005,2.74754e-005,3.8e-005,4.06783e-007
3.9e-005,2.89602e-005,3.9e-005,4.24672e-007
4e-005,3.04835e-005,4e-005,4.42882e-007
4.1e-005,3.2045e-005,4.1e-005,4.61414e-007
4.2e-005,3.36448e-005,4.2e-005,4.80264e-007
4.3e-005,3.52828e-005,4.3e-005,4.99432e-007
4.4e-005,3.69588e-005,4.4e-005,5.18916e-007
4.5e-005,3.86729e-005,4.5e-005,5.38713e-007
4.6e-005,4.04249e-005,4.6e-005,5.58823e-007
4.7e-005,4.22148e-005,4.7e-005,5.79245e-007
4.8e-005,4.40424e-005,4.8e-005,5.99975e-007
4.9e-005,4.59077e-005,4.9e-005,6.21013e-007
5e-005,4.78107e-005,5e-005,6.42358e-007
5.1e-005,4.97512e-005,5.1e-005,6.64008e-007
5.2e-005,5.17291e-005,5.2e-005,6.85962e-007
5.3e-005,5.37443e-005,5.3e-005,7.08217e-007
5.4e-005,5.57969e-005,5.4e-005,7.30774e-007
5.5e-005,5.78866e-005,5.5e-005,7.53629e-007
5.6e-005,6.00134e-005,5.6e-005,7.76783e-007
5.7e-005,6.21772e-005,5.7e-005,8.00234e-007
5.8e-005,6.4378e-005,5.8e-005,8.2398e-007
5.9e-005,6.66155e-005,5.9e-005,8.48019e-007
6e-005,6.88897e-005,6e-005,8.72352e-007
6.1e-005,7.12006e-005,6.1e-005,8.96976e-007
6.2e-005,7.3548e-005,6.2e-005,9.2189e-007
6.3e-005,7.59318e-005,6.3e-005,9.47093e-007
6.4e-005,7.8352e-005,6.4e-005,9.72583e-007
6.5e-005,8.08084e-005,6.5e-005,9.9836e-007
6.6e-005,8.33009e-005,6.6e-005,1.02442e-006
6.7e-005,8.58294e-005,6.7e-005,1.05077e-006
6.8e-005,8.83939e-005,6.8e-005,1.0774e-006
6.9e-005,9.09942e-005,6.9e-005,1.10431e-006
7e-005,9.36302e-005,7e-005,1.1315e-006
7.1e-005,9.63018e-005,7.1e-005,1.15897e-006
7.2e-005,9.90089e-005,7.2e-005,1.18671e-006
7.3e-005,0.000101751,7.3e-005,1.21473e-006
7.4e-005,0.000104529,7.4e-005,1.24303e-006
7.5e-005,0.000107342,7.5e-005,1.27161e-006
7.6e-005,0.00011019,7.6e-005,1.30045e-006
7.7e-005,0.000113073,7.7e-005,1.32957e-006
7.8e-005,0.000115991,7.8e-005,1.35896e-006
7.9e-005,0.000118944,7.9e-005,1.38862e-006
8e-005,0.000121931,8e-005,1.41854e-006
8.1e-005,0.000124952,8.1e-005,1.44874e-006
8.2e-005,0.000128009,8.2e-005,1.47919e-006
8.3e-005,0.000131099,8.3e-005,1.50992e-006
8.4e-005,0.000134223,8.4e-005,1.54091e-006
8.5e-005,0.000137382,8.5e-005,1.57216e-006
8.6e-005,0.000140575,8.6e-005,1.60367e-006
8.7e-005,0.000143801,8.7e-005,1.63544e-006
8.8e-005,0.000147061,8.8e-005,1.66747e-006
8.9e-005,0.000150354,8.9e-005,1.69976e-006
9e-005,0.000153682,9e-005,1.73231e-006
9.1e-005,0.000157042,9.1e-005,1.76511e-006
9.2e-005,0.000160435,9.2e-005,1.79817e-006
9.3e-005,0.000163862,9.3e-005,1.83148e-006
9.4e-005,0.000167322,9.4e-005,1.86504e-006
9.5e-005,0.000170814,9.5e-005,1.89885e-006
9.6e-005,0.00017434,9.6e-005,1.93292e-006
9.7e-005,0.000177897,9.7e-005,1.96723e-006
9.8e-005,0.000181488,9.8e-005,2.00179e-006
9.9e-005,0.00018511,9.9e-005,2.0366e-006
0.0001,0.000188765,0.0001,2.07166e-006
