"X--Trace 1::[V(vc1), Temperature=0]","Y--Trace 1::[V(vc1), Temperature=0]",,"X--Trace 2::[V(vc1), Temperature=6]","Y--Trace 2::[V(vc1), Temperature=6]",,"X--Trace 3::[V(vc1), Temperature=12]","Y--Trace 3::[V(vc1), Temperature=12]",,"X--Trace 4::[V(vc1), Temperature=18]","Y--Trace 4::[V(vc1), Temperature=18]",,"X--Trace 5::[V(vc1), Temperature=24]","Y--Trace 5::[V(vc1), Temperature=24]",,"X--Trace 6::[V(vc1), Temperature=30]","Y--Trace 6::[V(vc1), Temperature=30]",,"X--Trace 7::[V(vc1), Temperature=36]","Y--Trace 7::[V(vc1), Temperature=36]",,"X--Trace 8::[V(vc1), Temperature=42]","Y--Trace 8::[V(vc1), Temperature=42]",,"X--Trace 9::[V(vc1), Temperature=48]","Y--Trace 9::[V(vc1), Temperature=48]",,"X--Trace 10::[V(vc1), Temperature=54]","Y--Trace 10::[V(vc1), Temperature=54]",,"X--Trace 11::[V(vc1), Temperature=60]","Y--Trace 11::[V(vc1), Temperature=60]"
0,4.6821,,0,4.46842,,0,4.1379,,0,3.64604,,0,2.94423,,0,1.98699,,0,0.74109,,0,0.195389,,0,0.173367,,0,0.16345,,0,0.157517
2e-007,4.6821,,2e-007,4.46842,,2e-007,4.1379,,2e-007,3.64604,,2e-007,2.94423,,2e-007,1.98699,,2e-007,0.74109,,2e-007,0.195389,,2e-007,0.173367,,2e-007,0.16345,,2e-007,0.157517
4e-007,4.6821,,4e-007,4.46842,,4e-007,4.1379,,4e-007,3.64604,,4e-007,2.94423,,4e-007,1.98699,,4e-007,0.74109,,4e-007,0.195389,,4e-007,0.173367,,4e-007,0.16345,,4e-007,0.157517
8e-007,4.6821,,8e-007,4.46842,,8e-007,4.1379,,8e-007,3.64604,,8e-007,2.94423,,8e-007,1.98699,,8e-007,0.74109,,8e-007,0.195389,,8e-007,0.173367,,8e-007,0.16345,,8e-007,0.157517
1.6e-006,4.6821,,1.6e-006,4.46842,,1.6e-006,4.1379,,1.6e-006,3.64604,,1.6e-006,2.94423,,1.6e-006,1.98699,,1.6e-006,0.74109,,1.6e-006,0.195389,,1.6e-006,0.173367,,1.6e-006,0.16345,,1.6e-006,0.157517
3.2e-006,4.6821,,3.2e-006,4.46842,,3.2e-006,4.1379,,3.2e-006,3.64604,,3.2e-006,2.94423,,3.2e-006,1.98699,,3.2e-006,0.74109,,3.2e-006,0.195389,,3.2e-006,0.173367,,3.2e-006,0.16345,,3.2e-006,0.157517
6.4e-006,4.6821,,6.4e-006,4.46842,,6.4e-006,4.1379,,6.4e-006,3.64604,,6.4e-006,2.94423,,6.4e-006,1.98699,,6.4e-006,0.74109,,6.4e-006,0.195389,,6.4e-006,0.173367,,6.4e-006,0.16345,,6.4e-006,0.157517
1.28e-005,4.6821,,1.28e-005,4.46842,,1.28e-005,4.1379,,1.28e-005,3.64604,,1.28e-005,2.94423,,1.28e-005,1.98699,,1.28e-005,0.74109,,1.28e-005,0.195389,,1.28e-005,0.173367,,1.28e-005,0.16345,,1.28e-005,0.157517
2.56e-005,4.6821,,2.56e-005,4.46842,,2.56e-005,4.1379,,2.56e-005,3.64604,,2.56e-005,2.94423,,2.56e-005,1.98699,,2.56e-005,0.74109,,2.56e-005,0.195389,,2.56e-005,0.173367,,2.56e-005,0.16345,,2.56e-005,0.157517
4.56e-005,4.6821,,4.56e-005,4.46842,,4.56e-005,4.1379,,4.56e-005,3.64604,,4.56e-005,2.94423,,4.56e-005,1.98699,,4.56e-005,0.74109,,4.56e-005,0.195389,,4.56e-005,0.173367,,4.56e-005,0.16345,,4.56e-005,0.157517
6.56e-005,4.6821,,6.56e-005,4.46842,,6.56e-005,4.1379,,6.56e-005,3.64604,,6.56e-005,2.94423,,6.56e-005,1.98699,,6.56e-005,0.74109,,6.56e-005,0.195389,,6.56e-005,0.173367,,6.56e-005,0.16345,,6.56e-005,0.157517
8.56e-005,4.6821,,8.56e-005,4.46842,,8.56e-005,4.1379,,8.56e-005,3.64604,,8.56e-005,2.94423,,8.56e-005,1.98699,,8.56e-005,0.74109,,8.56e-005,0.195389,,8.56e-005,0.173367,,8.56e-005,0.16345,,8.56e-005,0.157517
0.0001056,4.6821,,0.0001056,4.46842,,0.0001056,4.1379,,0.0001056,3.64604,,0.0001056,2.94423,,0.0001056,1.98699,,0.0001056,0.74109,,0.0001056,0.195389,,0.0001056,0.173367,,0.0001056,0.16345,,0.0001056,0.157517
