"X--Trace 1::[V(vc1), Temperature=10]","Y--Trace 1::[V(vc1), Temperature=10]",,"X--Trace 2::[V(vc1), Temperature=27]","Y--Trace 2::[V(vc1), Temperature=27]",,"X--Trace 3::[V(vc1), Temperature=60]","Y--Trace 3::[V(vc1), Temperature=60]"
0,4.26366,,0,2.50001,,0,0.157517
3e-007,4.25837,,3e-007,2.49019,,3e-007,0.157351
6e-007,4.25145,,6e-007,2.47503,,6e-007,0.157183
1.2e-006,4.23653,,1.2e-006,2.43888,,1.2e-006,0.156849
2.4e-006,4.20487,,2.4e-006,2.35258,,2.4e-006,0.156193
4.8e-006,4.13842,,4.8e-006,2.17123,,4.8e-006,0.154929
9.6e-006,3.98947,,9.6e-006,1.77985,,9.6e-006,0.152575
1.92e-005,3.62071,,1.92e-005,0.878102,,1.92e-005,0.148441
3.84e-005,2.53064,,2.92579e-005,0.203607,,3.84e-005,0.141876
6.84e-005,0.192658,,3.61759e-005,0.177927,,6.84e-005,0.134503
8.45954e-005,0.155333,,4.00994e-005,0.171202,,9.84e-005,0.129335
9.58363e-005,0.146418,,4.4886e-005,0.164416,,0.0001284,0.125633
0.000106554,0.140184,,5.44592e-005,0.154853,,0.0001584,0.122988
0.000127991,0.131881,,7.36056e-005,0.142953,,0.0001884,0.121235
0.000157991,0.124968,,0.000103606,0.13229,,0.0002184,0.120215
0.000187991,0.120965,,0.000133606,0.125953,,0.0002484,0.11986
0.000217991,0.118805,,0.000163606,0.121899,,0.0002784,0.120149
0.000247991,0.118066,,0.000193606,0.119371,,0.0003084,0.121099
0.000277991,0.118628,,0.000223606,0.118006,,0.0003384,0.122773
0.000307991,0.120582,,0.000253606,0.117619,,0.0003684,0.12529
0.000337991,0.124299,,0.000283606,0.118214,,0.0003984,0.128854
0.000367991,0.130711,,0.000313606,0.119836,,0.0004284,0.133863
0.000397991,0.142573,,0.000343606,0.122714,,0.0004584,0.140945
0.000427991,0.176907,,0.000373606,0.127228,,0.0004884,0.15165
0.000457991,2.16772,,0.000403606,0.134353,,0.0005184,0.170744
0.000473782,3.2517,,0.000433606,0.146708,,0.0005484,0.266563
0.00048909,3.9349,,0.000463606,0.178071,,0.0005784,2.47872
0.00051909,4.61709,,0.000493606,1.95146,,0.000593091,3.22866
0.00054909,4.86442,,0.000510027,3.11096,,0.000607298,3.71047
0.00057909,4.94956,,0.000526624,3.86218,,0.00063571,4.28411
0.00060759,4.97871,,0.000554135,4.51443,,0.00066571,4.57456
0.00063759,4.99027,,0.000584135,4.80386,,0.00069571,4.70957
0.00066759,4.99481,,0.000614135,4.91371,,0.00072571,4.76779
0.00069759,4.99669,,0.000642635,4.95607,,0.00075571,4.78007
0.00072759,4.99744,,0.000672635,4.97503,,0.00078571,4.75288
0.00075759,4.99758,,0.000702635,4.98318,,0.00081571,4.66817
0.00078759,4.99718,,0.000732635,4.98636,,0.00084571,4.4887
0.00081759,4.99598,,0.000762635,4.98659,,0.00087571,4.10556
0.00084759,4.99309,,0.000792635,4.98399,,0.00090571,3.29141
0.00087759,4.98594,,0.000822635,4.97697,,0.00093571,1.6305
0.00090759,4.96706,,0.000852635,4.96058,,0.00096571,0.192225
0.00093759,4.91404,,0.000882635,4.92143,,0.00098161,0.170526
0.00096759,4.76034,,0.000912635,4.82273,,0.000990477,0.163571
0.00099759,4.32407,,0.000942635,4.56461,,0.00100026,0.157377
0.00102759,3.20928,,0.000972635,3.89758,,0.00101981,0.148205
0.00105759,0.87726,,0.00100263,2.33443,,0.00104981,0.138736
0.00107218,0.177582,,0.00103263,0.189667,,0.00107981,0.132328
0.00108021,0.161142,,0.00105029,0.158009,,0.00110981,0.12778
0.00108586,0.154729,,0.00106158,0.149651,,0.00113981,0.124523
0.00109238,0.148944,,0.00107221,0.143643,,0.00116981,0.122229
0.00110543,0.140747,,0.00109348,0.135258,,0.00119981,0.120765
0.00113153,0.130836,,0.00112348,0.127782,,0.00122981,0.120004
0.00116153,0.124372,,0.00115348,0.123071,,0.00125981,0.119894
0.00119153,0.120626,,0.00118348,0.120082,,0.00128981,0.12043
0.00122153,0.118648,,0.00121348,0.11835,,0.00131981,0.121646
0.00125153,0.118065,,0.00124348,0.117632,,0.00134981,0.123623
0.00128153,0.118782,,0.00127348,0.117903,,0.00137981,0.126507
0.00131153,0.120919,,0.00130348,0.119166,,0.00140981,0.130552
0.00134153,0.124888,,0.00133348,0.121594,,0.00143981,0.136255
0.00137153,0.131737,,0.00136348,0.125476,,0.00146981,0.144455
0.00140153,0.144677,,0.00139348,0.131554,,0.00148481,0.150084
0.00143153,0.189077,,0.00142348,0.141619,,0.0015,0.157513
0.00146153,2.43297,,0.00145348,0.162483,,0,0
0.00147671,3.40677,,0.00148348,1.0445,,0,0
0.00149104,4.00106,,0.0015,2.46386,,0,0
0.0015,4.26008,,0,0,,0,0
