"X--Trace 1::[V(vc1), Temperature=10]","Y--Trace 1::[V(vc1), Temperature=10]",,"X--Trace 2::[V(ve), Temperature=10]","Y--Trace 2::[V(ve), Temperature=10]",,"X--Trace 3::[V(vc1), Temperature=27]","Y--Trace 3::[V(vc1), Temperature=27]",,"X--Trace 4::[V(ve), Temperature=27]","Y--Trace 4::[V(ve), Temperature=27]",,"X--Trace 5::[V(vc1), Temperature=60]","Y--Trace 5::[V(vc1), Temperature=60]",,"X--Trace 6::[V(ve), Temperature=60]","Y--Trace 6::[V(ve), Temperature=60]"
0,4.26366,,0,0,,0,2.50001,,0,0,,0,0.157517,,0,0
3e-007,4.25837,,3e-007,0.000266573,,3e-007,2.49019,,3e-007,0.000266573,,3e-007,0.157351,,3e-007,0.000266573
6e-007,4.25145,,6e-007,0.000533145,,6e-007,2.47503,,6e-007,0.000533145,,6e-007,0.157183,,6e-007,0.000533145
1.2e-006,4.23653,,1.2e-006,0.00106628,,1.2e-006,2.43888,,1.2e-006,0.00106628,,1.2e-006,0.156849,,1.2e-006,0.00106628
2.4e-006,4.20487,,2.4e-006,0.0021325,,2.4e-006,2.35258,,2.4e-006,0.0021325,,2.4e-006,0.156193,,2.4e-006,0.0021325
4.8e-006,4.13842,,4.8e-006,0.00426452,,4.8e-006,2.17123,,4.8e-006,0.00426452,,4.8e-006,0.154929,,4.8e-006,0.00426452
9.6e-006,3.98947,,9.6e-006,0.00852516,,9.6e-006,1.77985,,9.6e-006,0.00852516,,9.6e-006,0.152575,,9.6e-006,0.00852516
1.92e-005,3.62071,,1.92e-005,0.0170193,,1.92e-005,0.878102,,1.92e-005,0.0170193,,1.92e-005,0.148441,,1.92e-005,0.0170193
3.84e-005,2.53064,,3.84e-005,0.0337913,,2.92579e-005,0.203607,,2.92579e-005,0.0258517,,3.84e-005,0.141876,,3.84e-005,0.0337913
6.84e-005,0.192658,,6.84e-005,0.0589249,,3.61759e-005,0.177927,,3.61759e-005,0.0318689,,6.84e-005,0.134503,,6.84e-005,0.0589249
8.45954e-005,0.155333,,8.45954e-005,0.0716796,,4.00994e-005,0.171202,,4.00994e-005,0.0352556,,9.84e-005,0.129335,,9.84e-005,0.081971
9.58363e-005,0.146418,,9.58363e-005,0.0801041,,4.4886e-005,0.164416,,4.4886e-005,0.039358,,0.0001284,0.125633,,0.0001284,0.102113
0.000106554,0.140184,,0.000106554,0.0877654,,5.44592e-005,0.154853,,5.44592e-005,0.0474524,,0.0001584,0.122988,,0.0001584,0.118638
0.000127991,0.131881,,0.000127991,0.101861,,7.36056e-005,0.142953,,7.36056e-005,0.0630975,,0.0001884,0.121235,,0.0001884,0.13096
0.000157991,0.124968,,0.000157991,0.11844,,0.000103606,0.13229,,0.000103606,0.0856958,,0.0002184,0.120215,,0.0002184,0.138643
0.000187991,0.120965,,0.000187991,0.130823,,0.000133606,0.125953,,0.000133606,0.105258,,0.0002484,0.11986,,0.0002484,0.141414
0.000217991,0.118805,,0.000217991,0.138571,,0.000163606,0.121899,,0.000163606,0.121092,,0.0002784,0.120149,,0.0002784,0.139176
0.000247991,0.118066,,0.000247991,0.14141,,0.000193606,0.119371,,0.000193606,0.132636,,0.0003084,0.121099,,0.0003084,0.132007
0.000277991,0.118628,,0.000277991,0.13924,,0.000223606,0.118006,,0.000223606,0.139481,,0.0003384,0.122773,,0.0003384,0.120162
0.000307991,0.120582,,0.000307991,0.132137,,0.000253606,0.117619,,0.000253606,0.141385,,0.0003684,0.12529,,0.0003684,0.10406
0.000337991,0.124299,,0.000337991,0.120353,,0.000283606,0.118214,,0.000283606,0.13828,,0.0003984,0.128854,,0.0003984,0.0842714
0.000367991,0.130711,,0.000367991,0.104306,,0.000313606,0.119836,,0.000313606,0.130277,,0.0004284,0.133863,,0.0004284,0.0614976
0.000397991,0.142573,,0.000397991,0.0845631,,0.000343606,0.122714,,0.000343606,0.117659,,0.0004584,0.140945,,0.0004584,0.0365453
0.000427991,0.176907,,0.000427991,0.0618249,,0.000373606,0.127228,,0.000373606,0.100872,,0.0004884,0.15165,,0.0004884,0.0102984
0.000457991,2.16772,,0.000457991,0.0368965,,0.000403606,0.134353,,0.000403606,0.0805123,,0.0005184,0.170744,,0.0005184,-0.0163134
0.000473782,3.2517,,0.000473782,0.0231917,,0.000433606,0.146708,,0.000433606,0.0573002,,0.0005484,0.266563,,0.0005484,-0.0423473
0.00048909,3.9349,,0.00048909,0.00968699,,0.000463606,0.178071,,0.000463606,0.0320581,,0.0005784,2.47872,,0.0005784,-0.066881
0.00051909,4.61709,,0.00051909,-0.0169221,,0.000493606,1.95146,,0.000493606,0.00568042,,0.000593091,3.22866,,0.000593091,-0.0780822
0.00054909,4.86442,,0.00054909,-0.0429317,,0.000510027,3.11096,,0.000510027,-0.00890404,,0.000607298,3.71047,,0.000607298,-0.0882822
0.00057909,4.94956,,0.00057909,-0.0674204,,0.000526624,3.86218,,0.000526624,-0.0235471,,0.00063571,4.28411,,0.00063571,-0.106498
0.00060759,4.97871,,0.00060759,-0.0884849,,0.000554135,4.51443,,0.000554135,-0.0471805,,0.00066571,4.57456,,0.00066571,-0.122047
0.00063759,4.99027,,0.00063759,-0.107589,,0.000584135,4.80386,,0.000584135,-0.0713263,,0.00069571,4.70957,,0.00069571,-0.133273
0.00066759,4.99481,,0.00066759,-0.122883,,0.000614135,4.91371,,0.000614135,-0.0929454,,0.00072571,4.76779,,0.00072571,-0.139778
0.00069759,4.99669,,0.00069759,-0.133822,,0.000642635,4.95607,,0.000642635,-0.110444,,0.00075571,4.78007,,0.00075571,-0.14133
0.00072759,4.99744,,0.00072759,-0.140022,,0.000672635,4.97503,,0.000672635,-0.125039,,0.00078571,4.75288,,0.00078571,-0.137876
0.00075759,4.99758,,0.00075759,-0.141261,,0.000702635,4.98318,,0.000702635,-0.135205,,0.00081571,4.66817,,0.00081571,-0.129538
0.00078759,4.99718,,0.00078759,-0.137495,,0.000732635,4.98636,,0.000732635,-0.14058,,0.00084571,4.4887,,0.00084571,-0.116611
