X--Trace 1::[V(vc1)],Y--Trace 1::[V(vc1)]
0,2.23282
1,2.24411
2,2.25527
3,2.26631
4,2.27724
5,2.28806
6,2.29876
7,2.30935
8,2.31982
9,2.33019
10,2.34046
11,2.35062
12,2.36067
13,2.37063
14,2.38048
15,2.39023
16,2.39989
17,2.40945
18,2.41891
19,2.42828
20,2.43756
21,2.44674
22,2.45584
23,2.46484
24,2.47376
25,2.4826
26,2.49134
27,2.50001
28,2.50859
29,2.51709
30,2.52551
31,2.53385
32,2.54211
33,2.55029
34,2.55839
35,2.56643
36,2.57438
37,2.58226
38,2.59008
39,2.59781
40,2.60548
41,2.61308
42,2.62061
43,2.62807
44,2.63546
45,2.64279
46,2.65005
47,2.65725
48,2.66439
49,2.67146
50,2.67847
51,2.68541
52,2.6923
53,2.69913
54,2.70589
55,2.7126
56,2.71925
57,2.72585
58,2.73238
59,2.73887
60,2.74529
